Código,Descrição,Nível 0,Nivel 1,Nível 2,Nível 3,Nivel 4
503010120,( - ) Cofins,Despesa,Demais Custos,Demais Custos Gerais,Demais Custos Gerais,( - ) Cofins
503010199,Outros Custos,Despesa,Demais Custos,Demais Custos Gerais,Demais Custos Gerais,Outros Custos
500000000000000,Custo,Custo,Demais Custos,Demais Custos Gerais,Demais Custos Gerais,Outros Custos
601,Unificação Matriz X Filiais,Custo,Unificação Matriz X Filiais,Demais Custos Gerais,Demais Custos Gerais,Outros Custos
60101,Transferência De Impostos,Custo,Unificação Matriz X Filiais,Transferência De Impostos,Demais Custos Gerais,Outros Custos
6010101,Transferência De Impostos,Custo,Unificação Matriz X Filiais,Transferência De Impostos,Transferência De Impostos,Outros Custos
601010101,Transferência De Impostos Gerados Pelas Filiais,Custo,Unificação Matriz X Filiais,Transferência De Impostos,Transferência De Impostos,Transferência De Impostos Gerados Pelas Filiais
60102,Transferência De Contas A Pagar,Custo,Unificação Matriz X Filiais,Transferência De Contas A Pagar,Transferência De Impostos,Transferência De Impostos Gerados Pelas Filiais
6010201,Transferência De Contas A Pagar,Custo,Unificação Matriz X Filiais,Transferência De Contas A Pagar,Transferência De Contas A Pagar,Transferência De Impostos Gerados Pelas Filiais
601020101,Transferência De Contas A Pagar Gerados Pelas Filiais,Custo,Unificação Matriz X Filiais,Transferência De Contas A Pagar,Transferência De Contas A Pagar,Transferência De Contas A Pagar Gerados Pelas Filiais
60103,Transferência De Contas A Receber,Custo,Unificação Matriz X Filiais,Transferência De Contas A Receber,Transferência De Contas A Pagar,Transferência De Contas A Pagar Gerados Pelas Filiais
6010301,Transferência De Contas A Receber,Custo,Unificação Matriz X Filiais,Transferência De Contas A Receber,Transferência De Contas A Receber,Transferência De Contas A Pagar Gerados Pelas Filiais
601030101,Transferência De Contas A Receber Gerados Pelas Filiais,Custo,Unificação Matriz X Filiais,Transferência De Contas A Receber,Transferência De Contas A Receber,Transferência De Contas A Receber Gerados Pelas Filiais
602,Contas Diversas,Custo,Contas Diversas,Transferência De Contas A Receber,Transferência De Contas A Receber,Transferência De Contas A Receber Gerados Pelas Filiais
60201,Saldos Iniciais,Custo,Contas Diversas,Saldos Iniciais,Transferência De Contas A Receber,Transferência De Contas A Receber Gerados Pelas Filiais
6020101,Saldos Iniciais,Custo,Contas Diversas,Saldos Iniciais,Saldos Iniciais,Transferência De Contas A Receber Gerados Pelas Filiais
602010101,Saldos Iniciais,Custo,Contas Diversas,Saldos Iniciais,Saldos Iniciais,Saldos Iniciais
60202,Resultado,Custo,Contas Diversas,Resultado,Saldos Iniciais,Saldos Iniciais
6020201,Resultado Do Exercício,Custo,Contas Diversas,Resultado,Resultado Do Exercício,Saldos Iniciais
602020101,Resultado Final De Exercício,Custo,Contas Diversas,Resultado,Resultado Do Exercício,Resultado Final De Exercício
602020102,Irpj Diferido,Custo,Contas Diversas,Resultado,Resultado Do Exercício,Irpj Diferido
602020103,Csll Diferida,Custo,Contas Diversas,Resultado,Resultado Do Exercício,Csll Diferida
600000000000000,Contas De Compensação,Contas De Compensação,Contas Diversas,Resultado,Resultado Do Exercício,Csll Diferida
700000000000000,Nome Do Grupo 7 De Contas,Nome Do Grupo 7 De Contas,Contas Diversas,Resultado,Resultado Do Exercício,Csll Diferida
800000000000000,Nome Do Grupo 8 De Contas,Nome Do Grupo 8 De Contas,Contas Diversas,Resultado,Resultado Do Exercício,Csll Diferida
900000000000000,Nome Do Grupo 9 De Contas,Nome Do Grupo 9 De Contas,Contas Diversas,Resultado,Resultado Do Exercício,Csll Diferida
A00000000000000,Nome Do Grupo 10 De Contas,Nome Do Grupo 10 De Contas,Contas Diversas,Resultado,Resultado Do Exercício,Csll Diferida
40101,Despesas Operacionais Das Atividades Em Geral,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Receitas Não Operacionais,Outras Receitas Não Operacionais
4010101,Despesas Com Pessoal,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Outras Receitas Não Operacionais
401010101,Remuneração A Dirigentes E A Conselho De Administração,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Remuneração A Dirigentes E A Conselho De Administração
401010102,"Ordenados, Salários Gratificações E Outras Remunerações A Empregados",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,"Ordenados, Salários Gratificações E Outras Remunerações A Empregados"
401010103,Planos De Poupança E Investimentos De Empregados,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Planos De Poupança E Investimentos De Empregados
401010104,Fundo De Aposentadoria Programada Individual De Empregados,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Fundo De Aposentadoria Programada Individual De Empregados
401010105,Plano De Previdência Privada De Empregados,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Plano De Previdência Privada De Empregados
401010106,Serviços Prestados Por Cooperativa De Trabalho,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Serviços Prestados Por Cooperativa De Trabalho
401010107,Locação De Mão-De-Obra,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Locação De Mão-De-Obra
401010108,Prestação De Serviço Pessoa Jurídica,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Prestação De Serviço Pessoa Jurídica
401010109,Férias,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Férias
401010110,13º Salário,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,13º Salário
401010111,Salário Estagiários,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Salário Estagiários
401010112,Aviso Prévio,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Aviso Prévio
401010113,Rescisões Contratuais,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Rescisões Contratuais
401010114,Indenizações Trabalhistas,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Indenizações Trabalhistas
401010115,Provisão 13º Salário,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Provisão 13º Salário
401010116,Provisão Férias,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Provisão Férias
401010117,Provisão Fgts 13º Salário,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Provisão Fgts 13º Salário
401010118,Provisão Fgts Férias,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Provisão Fgts Férias
401010119,Provisão Inss 13º Salário,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Provisão Inss 13º Salário
401010120,Provisão Inss Férias,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Provisão Inss Férias
401010121,Prestação De Serviço Comercial,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Prestação De Serviço Comercial
401010122,Prestação De Serviços Administrativos,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Prestação De Serviços Administrativos
401010123,Serviços De Recrutamento E Seleção,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Serviços De Recrutamento E Seleção
401010199,Outros Gastos Com Pessoal,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Pessoal,Outros Gastos Com Pessoal
4010102,Encargos Sobre Folha,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos Sobre Folha,Outros Gastos Com Pessoal
401010201,Pis/Pasep,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos Sobre Folha,Pis/Pasep
401010202,Encargos Sociais - Previdência Social,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos Sobre Folha,Encargos Sociais - Previdência Social
401010203,Encargos Sociais - Fgts,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos Sobre Folha,Encargos Sociais - Fgts
401010204,Encargos Sociais - Outros,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos Sobre Folha,Encargos Sociais - Outros
401010205,Encargos Sociais - Outros,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos Sobre Folha,Encargos Sociais - Outros
4010103,Benefícios Sociais Sobre Folha,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Benefícios Sociais Sobre Folha,Encargos Sociais - Outros
401010301,"Assistência Médica, Odontológica E Farmacêutica A Empregados",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Benefícios Sociais Sobre Folha,"Assistência Médica, Odontológica E Farmacêutica A Empregados"
401010302,Benefícios Corporativos,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Benefícios Sociais Sobre Folha,Benefícios Corporativos
401010303,Equipamentos De Segurança,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Benefícios Sociais Sobre Folha,Equipamentos De Segurança
401010304,Formação Profissional,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Benefícios Sociais Sobre Folha,Formação Profissional
401010305,Uniformes E Vestuários,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Benefícios Sociais Sobre Folha,Uniformes E Vestuários
401010306,Vale Transporte,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Benefícios Sociais Sobre Folha,Vale Transporte
4010104,Despesas Administrativas,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Vale Transporte
401010401,Aluguéis,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Aluguéis
401010402,Despesas Com Veículos E De Conservação De Bens E Instalações,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Despesas Com Veículos E De Conservação De Bens E Instalações
401010403,Água E Esgoto,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Água E Esgoto
401010404,Energia Elétrica,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Energia Elétrica
401010405,Assessoria Contábil,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Assessoria Contábil
401010406,Despesa Com Segurança,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Despesa Com Segurança
401010407,Despesas Assessoria E Consultoria,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Despesas Assessoria E Consultoria
401010408,Honorários Advocatícios,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Honorários Advocatícios
401010409,Internet,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Internet
401010410,Telefone E Link De Dados,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Telefone E Link De Dados
401010411,Manutenção De Software,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Manutenção De Software
401010412,Prestação Serviço Administrativo Terceiros - Pj,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Prestação Serviço Administrativo Terceiros - Pj
401010413,Prestação De Serviço Comercial,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Prestação De Serviço Comercial
401010414,(-) Crédito Pis,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,(-) Crédito Pis
401010415,(-) Crédito Cofins,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,(-) Crédito Cofins
401010416,Condominio,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Condominio
401010417,Material De Marketing,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Material De Marketing
401010418,Despesas Com Agência De Marketing,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Despesas Com Agência De Marketing
401010419,Representação Comercial,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Representação Comercial
401010420,"Serviços De Hospedagem, Armazenamento E Processamento De Dados",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,"Serviços De Hospedagem, Armazenamento E Processamento De Dados"
401010421,Licenciamento De Software,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Licenciamento De Software
401010422,Bens De Pequeno Valores,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Bens De Pequeno Valores
401010423,Despesas Com Ti,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Despesas Com Ti
401010424,Despesas Com Comercialização,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Despesas Com Comercialização
401010499,Outras Despesas Administrativas,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Administrativas,Outras Despesas Administrativas
4010105,Despesas Gerais,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Outras Despesas Administrativas
401010501,Amostras,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Amostras
401010502,Anuidades,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Anuidades
401010503,Associações E Sindicato,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Associações E Sindicato
401010504,Cestas Básicas,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Cestas Básicas
401010505,Contribuição Patronal,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Contribuição Patronal
401010506,Cópias - Xerox,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Cópias - Xerox
401010507,Correios E Telégrafos,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Correios E Telégrafos
401010508,Cursos E Treinamentos,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Cursos E Treinamentos
401010509,Bens De Natureza Permanente Deduzidos Como Despesa,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Bens De Natureza Permanente Deduzidos Como Despesa
401010510,Despesa Com Equipamento De Informática,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesa Com Equipamento De Informática
401010511,Despesas Administrativas Com Cartão De Crédito,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas Administrativas Com Cartão De Crédito
401010512,Despesas Ambientais,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas Ambientais
401010513,Despesas Com Alimentação,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas Com Alimentação
401010514,Despesas Com Copa E Lanches,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas Com Copa E Lanches
401010515,Despesas Com Exportações,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas Com Exportações
401010516,Despesas Com Importações,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas Com Importações
401010517,Despesas Com Gás,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas Com Gás
401010518,"Propaganda, Publicidade E Patrocínio",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,"Propaganda, Publicidade E Patrocínio"
401010519,"Despesas Com Veículos - Combustível, Manutenção",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,"Despesas Com Veículos - Combustível, Manutenção"
401010520,Despesas De Cartório,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas De Cartório
401010521,Eventos E Comemorações,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Eventos E Comemorações
401010522,Feiras E Exposições,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Feiras E Exposições
401010523,Ferramentas,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Ferramentas
401010524,Higiene E Limpeza,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Higiene E Limpeza
401010525,Impressos E Material Para Escritório,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Impressos E Material Para Escritório
401010526,"Jornais, Revista E Livros",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,"Jornais, Revista E Livros"
401010527,Lazer E Esporte,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Lazer E Esporte
401010528,Manutenção Do Edifício,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Manutenção Do Edifício
401010529,Manutenção Móveis E Utensílios,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Manutenção Móveis E Utensílios
401010530,Manutenção Sistema De Telefonia,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Manutenção Sistema De Telefonia
401010531,Manutenção/Reparo De Máquinas,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Manutenção/Reparo De Máquinas
401010532,Materiais De Uso E Consumo,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Materiais De Uso E Consumo
401010533,Peças E Acessórios,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Peças E Acessórios
401010534,Prestação Serviço Terceiros - Pf,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Prestação Serviço Terceiros - Pf
401010535,Prestação Serviço Terceiros - Pj,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Prestação Serviço Terceiros - Pj
401010536,Seguros Diversos,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Seguros Diversos
401010537,"Despesas Com Viagens, Diárias E Ajuda De Custo",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,"Despesas Com Viagens, Diárias E Ajuda De Custo"
401010538,Estacionamento,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Estacionamento
401010539,Despesas Com Deslocamento,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Despesas Com Deslocamento
401010540,Cotas Em Tesouraria,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,Cotas Em Tesouraria
401010599,( - ) Devolução Material Uso Consumo,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Gerais,( - ) Devolução Material Uso Consumo
4010106,Despesas Com Vendas,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,( - ) Devolução Material Uso Consumo
401010601,Comissão P/ Geração De Energia,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,Comissão P/ Geração De Energia
401010602,Comissão P/ Economia De Clientes,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,Comissão P/ Economia De Clientes
401010603,Comissão P/ Venda De Energia P/ Clientes,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,Comissão P/ Venda De Energia P/ Clientes
401010604,"Despesas Com Viagens, Diárias E Ajuda De Custo",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,"Despesas Com Viagens, Diárias E Ajuda De Custo"
401010605,Fretes E Carretos,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,Fretes E Carretos
401010606,Prestação Serviço Comercial Terceiros - Pj,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,Prestação Serviço Comercial Terceiros - Pj
401010607,Despesa Com Cash Back,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,Despesa Com Cash Back
401010608,Vale Energia,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,Vale Energia
401010609,Outras Despesa Com Marketing,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Com Vendas,Outras Despesa Com Marketing
4010107,Despesas Tributárias,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Outras Despesa Com Marketing
401010701,Pis/Pasep,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Pis/Pasep
401010702,Cofins,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Cofins
401010703,Impostos E Taxas Diversas,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Impostos E Taxas Diversas
401010704,Iof,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Iof
401010705,Iptu,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Iptu
401010706,Ipva,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Ipva
401010707,Irpj S/Aplicações Financeiras,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Irpj S/Aplicações Financeiras
401010708,Multas Fiscais,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Multas Fiscais
401010709,Icms Difal,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,Icms Difal
401010799,"Demais Impostos, Taxas E Contribuições, Exceto Ir E Csll",Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Despesas Tributárias,"Demais Impostos, Taxas E Contribuições, Exceto Ir E Csll"
4010108,Encargos De Depreciação E Amortização,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos De Depreciação E Amortização,"Demais Impostos, Taxas E Contribuições, Exceto Ir E Csll"
401010801,Depreciação,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos De Depreciação E Amortização,Depreciação
401010802,Amortização,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos De Depreciação E Amortização,Amortização
401010803,( - ) Pis S/ Depreciação E Amortização,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos De Depreciação E Amortização,( - ) Pis S/ Depreciação E Amortização
401010804,( - ) Cofins S/ Depreciação E Amortização,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos De Depreciação E Amortização,( - ) Cofins S/ Depreciação E Amortização
401010805,Amortização Arrendamento,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Encargos De Depreciação E Amortização,Amortização Arrendamento
4010109,Perdas Em Operações De Crédito,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Perdas Em Operações De Crédito,Amortização Arrendamento
401010901,Perdas Em Operações De Crédito,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Perdas Em Operações De Crédito,Perdas Em Operações De Crédito
401011001,Despesas Com Loyalty,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Perdas Em Operações De Crédito,Despesas Com Loyalty
401011002,Despesas Com Cashback,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Perdas Em Operações De Crédito,Despesas Com Cashback
401011003,Despesas Com Vale Conta De Luz,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Perdas Em Operações De Crédito,Despesas Com Vale Conta De Luz
4010111,Locação De Equipamentos De Geração De Energia Elétrica(Usina),Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Locação De Equipamentos De Geração De Energia Elétrica(Usina),Despesas Com Vale Conta De Luz
401011101,Despesa Com Demanda De Usina,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Locação De Equipamentos De Geração De Energia Elétrica(Usina),Despesa Com Demanda De Usina
401011102,(-) Repasse Com Demanda Da Usina,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Locação De Equipamentos De Geração De Energia Elétrica(Usina),(-) Repasse Com Demanda Da Usina
401011103,Provisão Locação Variável,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Locação De Equipamentos De Geração De Energia Elétrica(Usina),Provisão Locação Variável
401011104,Locação De Equipamento De Geração De Energia Elétrica (Usina),Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Locação De Equipamentos De Geração De Energia Elétrica(Usina),Locação De Equipamento De Geração De Energia Elétrica (Usina)
401011105,Aquisição De Carbono,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Locação De Equipamentos De Geração De Energia Elétrica(Usina),Aquisição De Carbono
401011106,Despesas Com Operação E Manutenção Da Usina (O&M),Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Locação De Equipamentos De Geração De Energia Elétrica(Usina),Despesas Com Operação E Manutenção Da Usina (O&M)
401011107,Direito De Preferência,Receita,Despesas Operacionais,Despesas Operacionais Das Atividades Em Geral,Locação De Equipamentos De Geração De Energia Elétrica(Usina),Direito De Preferência
